path	class	authority_mode	audience	lifecycle	canonical_subject
.agents/skills/engineering-worklog/SKILL.md	development	canonical	contributors	living	engineering_worklog_procedure
.github/pull_request_template.md	contribution	projection	contributors	living	pull_request_workflow
AGENTS.md	development	canonical	contributors	living	repository_engineering_contract
CHANGELOG.md	release	canonical	public	living	public_change_history
CONTRIBUTING.md	contribution	canonical	contributors	living	contribution_workflow
NOTICE.md	legal	canonical	public	living	third_party_notices
README.md	entry	canonical	public	living	public_project_entry
ROADMAP.md	project-control	canonical	public	living	live_macro_project_control
docs/README.md	entry	canonical	all	living	documentation_navigation_and_authority_map
docs/architecture/commands.md	architecture	canonical	operators-contributors	living	implemented_command_operation_architecture
docs/architecture/compilation.md	architecture	canonical	contributors	living	implemented_compilation_architecture
docs/architecture/runtime.md	architecture	canonical	operators-contributors	living	implemented_runtime_execution_architecture
docs/architecture/system.md	architecture	canonical	all	living	implemented_system_topology
docs/audits/code-commentary-7c90ce1/README.md	audit	frozen	contributors	frozen	code_commentary_baseline_audit
docs/audits/documentation-architecture-51a5c/README.md	audit	frozen	contributors	frozen	documentation_architecture_baseline_audit
docs/audits/documentation-architecture-51a5c/findings.md	audit	frozen	contributors	frozen	documentation_architecture_baseline_findings
docs/audits/execution-substrate-dd91fb/README.md	audit	frozen	contributors	frozen	execution_substrate_baseline_and_disposition_audit
docs/audits/gb10-optimization-691814/README.md	audit	frozen	contributors	frozen	gb10_optimization_baseline_audit
docs/audits/minimax-h3-fl2va-b8b09e3/README.md	audit	frozen	contributors	frozen	minimax_h3_fl2va_intake_audit
docs/audits/operator-surface-ec7dcc/README.md	audit	frozen	contributors	frozen	operator_surface_audit
docs/audits/operator-surface-ec7dcc/findings.md	audit	frozen	contributors	frozen	operator_surface_findings
docs/audits/operator-surface-ec7dcc/project-control-input.md	audit	frozen	contributors	frozen	operator_audit_project_control_input
docs/audits/operator-surface-ec7dcc/registry-input.md	audit	frozen	contributors	frozen	operator_audit_registry_input
docs/audits/operator-surface-ec7dcc/target-taxonomy.md	audit	frozen	contributors	frozen	operator_audit_target_taxonomy
docs/audits/operator-surface-ec7dcc/workflows.md	audit	frozen	contributors	frozen	operator_audit_workflows
docs/audits/repository-compression-7226f7/README.md	audit	frozen	contributors	frozen	repository_compression_disposition_audit
docs/audits/topology-closure.md	audit	frozen	contributors	frozen	topology_closure_audit
docs/contracts/artifacts.md	contract	canonical	contributors-operators	living	artifact_admission_contract
docs/contracts/c-api.md	contract	canonical	integrators-contributors	living	c_api_and_internal_abi_reference
docs/contracts/events-telemetry.md	contract	canonical	operators-contributors	living	events_telemetry_contract
docs/contracts/local-protocol.md	contract	canonical	contributors	living	local_protocol_v6_contract
docs/contracts/runtime.md	contract	canonical	operators-contributors	living	hosted_runtime_contract
docs/decisions/0001-public-project-control.md	decision	canonical	contributors	accepted	public_project_control_decision
docs/decisions/0002-command-operation-registry.md	decision	canonical	contributors	accepted	command_registry_decision
docs/decisions/0003-documentation-architecture.md	decision	canonical	contributors	accepted	documentation_architecture_decision
docs/decisions/0004-target-verified-speculation.md	decision	canonical	contributors	accepted	target_verified_speculation_decision
docs/decisions/0005-execution-substrate.md	decision	canonical	contributors	accepted	execution_substrate_decision
docs/decisions/README.md	decision	projection	contributors	living	decision_index
docs/development/documentation-policy.md	development	canonical	contributors	living	documentation_governance
docs/development/gb10-targets.md	development	canonical	contributors	living	gb10_execution_target_table
docs/development/qa.md	development	canonical	contributors	living	quality_assurance_architecture
docs/development/reference-baseline.md	development	canonical	contributors	living	external_reference_engineering_baseline
docs/development/source-ownership.md	development	canonical	contributors	living	source_module_ownership_reference
docs/doctrine/evidence.md	doctrine	canonical	all	living	evidence_claim_discipline
docs/doctrine/glossary.md	doctrine	canonical	all	living	canonical_terminology
docs/doctrine/principles.md	doctrine	canonical	all	living	architectural_thesis
docs/migrations/command-architecture-v1.md	migration	canonical	contributors	retained	command_architecture_v1_migration
docs/migrations/deepseek-dspark-source.md	migration	canonical	contributors	retained	deepseek_dspark_source_migration
docs/migrations/documentation-architecture-v1.md	migration	canonical	contributors	retained	documentation_architecture_v1_migration
docs/milestones/code-commentary.md	milestone	canonical	contributors	accepted	code_commentary_boundary
docs/milestones/command-architecture.md	milestone	canonical	contributors	accepted	command_architecture_boundary
docs/milestones/core-compilation-consolidation.md	milestone	canonical	contributors	accepted	core_compilation_family_consolidation_boundary
docs/milestones/deepseek-dspark-rebase.md	milestone	canonical	contributors	accepted	deepseek_dspark_rebase_boundary
docs/milestones/documentation-architecture.md	milestone	canonical	contributors	accepted	documentation_architecture_boundary
docs/milestones/engineering-worklog.md	milestone	canonical	contributors	accepted	engineering_worklog_boundary
docs/milestones/gb10-optimization.md	milestone	canonical	contributors	planned	gb10_optimization_boundary
docs/milestones/product-architecture.md	milestone	canonical	contributors	accepted	execution_substrate_refoundation_boundary
