operation_id	plane	domain_owner	request_schema	result_schema	lifecycle	side_effects	idempotency	local_protocol	CLI_projection	REPL_projection	HTTP_projection	future_TUI	duplicate_implementations	backend_gap	proposed_authority
artifact.emit.controlled	Compile	GGUF writer	controlled options	human/file	finite process	writes controlled artifact transactionally	conditional	none	yvex artifact emit	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.inspect	Inspect	artifact descriptor	FILE_OR_ALIAS	human	finite process	reads GGUF metadata/directory	yes	none	yvex artifact show	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.materialize	Compile	artifact materialization	options	human	finite process	allocates/copies selected backend storage then cleans	conditional	none	yvex artifact materialize	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.materialize.gate	Execute	materialization evidence gate	check options	report/file	finite process	repeated bounded materialization and cleanup	conditional	none	yvex artifact materialize-gate	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.metadata	Inspect	GGUF metadata	FILE_OR_ALIAS	human	finite process	reads metadata	yes	none	yvex artifact metadata	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.model.gate	Execute	model admission evidence gate	check options	report/file	finite process	selected tensor/materialization proof	conditional	none	yvex artifact model-gate	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.status.projected	Run	server core	none	STATUS	request	read only	yes	YVEX_CLIENT_OP_ARTIFACT_SHOW	none	none	none	no	same implementation as runtime.status	operation is false/provisional facade	server protocol/domain authority; registry describes projection only
artifact.template	Compile	GGUF template	inspect|validate|compare	human/JSON	finite process	reads template/native inventory	yes	none	yvex artifact template	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.tensors	Inspect	GGUF tensor directory	FILE_OR_ALIAS	table	finite process	reads tensor directory	yes	none	yvex artifact tensors	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.verify	Compile	artifact integrity	check|report; implicit FILE shorthand	human/table/audit	finite process	reads and hashes admitted artifact; report only	yes	none	yvex artifact verify	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
artifact.verify.projected	Run	server core	none	STATUS	request	read only	yes	YVEX_CLIENT_OP_ARTIFACT_VERIFY	none	none	none	no	same implementation as runtime.status	operation is false/provisional facade	server protocol/domain authority; registry describes projection only
command.discovery	System	operator syntax	no topic accepted	human text	finite process	none	yes	none	yvex help	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
command.discovery.quant	Compile	quant command syntax	none	human	finite process	none	yes	none	yvex quant --help	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
context.report	Inspect	context report	report options	human/table/audit	finite process	reads artifact/registry; report only	yes	none	yvex runtime context	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
evidence.model	Inspect	model artifact reports	report|materialization-plan|materialize|descriptor|family-runtime	human/table/audit/files	finite process	reads artifacts; bounded materialize may mutate transient state	yes	none	yvex evidence model	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
evidence.moe	Inspect	MoE report	report options	human/table/audit	finite process	reads artifact facts	yes	none	yvex evidence moe	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
evidence.target	Inspect	target catalog/report owners	many report actions	human	finite process	reads catalogs/local paths	yes	none	yvex evidence target	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
execute.graph	Execute	graph/runtime numerical owners	attention|moe|transformer nested actions	human/JSON/files	finite process	may execute CPU/CUDA numerical paths and emit reports	conditional	none	yvex graph	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
execute.graph.attention.benchmark	Execute	graph/runtime/backend owner	yvex graph attention benchmark [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention benchmark	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.benchmark.compare	Execute	graph/runtime/backend owner	yvex graph attention benchmark compare [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention benchmark compare	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.capabilities	Execute	graph/runtime/backend owner	yvex graph attention capabilities [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention capabilities	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.capture	Execute	graph/runtime/backend owner	yvex graph attention capture [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention capture	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.compare	Execute	graph/runtime/backend owner	yvex graph attention compare [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention compare	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.cuda_graph.inspect	Execute	graph/runtime/backend owner	yvex graph attention cuda-graph inspect [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention cuda-graph inspect	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.cuda_graph.invalidate	Execute	graph/runtime/backend owner	yvex graph attention cuda-graph invalidate [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention cuda-graph invalidate	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.cuda_graph.list	Execute	graph/runtime/backend owner	yvex graph attention cuda-graph list [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention cuda-graph list	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.cuda_graph.release	Execute	graph/runtime/backend owner	yvex graph attention cuda-graph release [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention cuda-graph release	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.cuda_graph.update	Execute	graph/runtime/backend owner	yvex graph attention cuda-graph update [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention cuda-graph update	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.cuda_graph.warmup	Execute	graph/runtime/backend owner	yvex graph attention cuda-graph warmup [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention cuda-graph warmup	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.describe	Execute	graph/runtime/backend owner	yvex graph attention describe [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention describe	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.execute	Execute	graph/runtime/backend owner	yvex graph attention execute [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention execute	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.plan	Execute	graph/runtime/backend owner	yvex graph attention plan [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention plan	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.prepare	Execute	graph/runtime/backend owner	yvex graph attention prepare [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention prepare	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.profile	Execute	graph/runtime/backend owner	yvex graph attention profile [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention profile	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.qualify	Execute	graph/runtime/backend owner	yvex graph attention qualify [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention qualify	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.replay	Execute	graph/runtime/backend owner	yvex graph attention replay [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention replay	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.residency.inspect	Execute	graph/runtime/backend owner	yvex graph attention residency inspect [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention residency inspect	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.state.exercise	Execute	graph/runtime/backend owner	yvex graph attention state exercise [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention state exercise	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.state.inspect	Execute	graph/runtime/backend owner	yvex graph attention state inspect [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention state inspect	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.state.validate	Execute	graph/runtime/backend owner	yvex graph attention state validate [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention state validate	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.attention.trace	Execute	graph/runtime/backend owner	yvex graph attention trace [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph attention trace	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.moe.execute	Execute	graph/runtime/backend owner	yvex graph moe execute [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph moe execute	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.transformer.decode	Execute	graph/runtime/backend owner	yvex graph transformer decode [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph transformer decode	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.transformer.execute	Execute	graph/runtime/backend owner	yvex graph transformer execute [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph transformer execute	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
