command_id	flag	value_type	required	default_value	admitted_range	enum_values	parser_owner	validator_owner	semantic_owner	environment_equivalent	config_equivalent	protocol_field	tests	documentation	finding	disposition
cli.offline.artifact.emit	--arch	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.emit	--model-name	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.emit	--out	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.emit	--overwrite	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.emit	--target-name	tensor name	no	token_embd.weight	bounded name		src/cli/commands/gguf.c	GGUF emit parser	GGUF writer	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.artifact.emit	--target-qtype	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.emit	--template	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.emit	--tensor-name	tensor name	no	embed.weight	bounded name		src/cli/commands/gguf.c	GGUF emit parser	GGUF writer	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.artifact.materialize	--allow-unsupported-dtype	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize	--backend	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize	--model	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize	--require-all	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
