contract	current_version	proposed_version	new_fact_not_representable_today	incompatibility	old_reader_behavior	old_writer_behavior	migration_or_side_by_side_rule	tests	decision
runtime_binding	7	8	sealed model-execution descriptor and identity	persisted bytes and authenticated identity	v7 reader rejects v8; current reader admits v7 and v8	v7 cannot emit model geometry	retain v7 artifact; emit v8 beside it only when descriptor is sealed	v7 open; v8 roundtrip; identity and truncation refusal	bump_admitted
runtime_family_adapter	2	3	transformer and speculation callbacks require the immutable runtime descriptor	internal function-pointer ABI	old binary is never mixed with rebuilt objects	old callback cannot receive geometry	complete rebuild; no persisted migration	target-only and DSpark v7/v8 policy parity	internal_bump_admitted
model_execution_descriptor	absent	1	source-derived context, attention, MoE, state and DSpark geometry	new internal identity and binding payload	no old reader exists	no old writer exists	new sealed descriptor; v7 compatibility remains family-owned	seal; encode/decode; mutation; synthetic geometry	new_contract_admitted
runtime_execution_descriptor	2	2	model execution is nested in the in-process summary	internal structure layout only; persistence belongs to binding v8	old binaries are not mixed	v7 import leaves the nested fact absent	full rebuild; v7 family compatibility projection	v7/v8 runtime model import	retain_version
physical_execution_ir	1	1	none required by this boundary	none	unchanged	unchanged	no migration	identity and decision coverage	retain_version
compiled_execution_profile	1	1	none required by this boundary	none	unchanged	unchanged	no migration	profile identity tests	retain_version
hardware_profile	absent	1	measured memory, paging, bandwidth, topology, graph and native-code facts	new internal identity	no old reader exists	no old writer exists	new contract; missing fact classes refuse	seal and missing-fact refusals	new_contract_admitted
workload_profile	absent	1	context, batch, page, prefix and reserve policy dimensions	new internal identity	no old reader exists	no old writer exists	new contract	seal and invalid-policy refusal	new_contract_admitted
capacity_plan	absent	1	per-state-class page geometry and complete byte admission	new internal identity	no old reader exists	no old writer exists	new contract	geometry, ordering, reserve and near-capacity tests	new_contract_admitted
phase_roofline_ledger	absent	1	phase active bytes, launches, syncs, occupancy and committed work	new internal identity	no old reader exists	no old writer exists	new contract; raw samples remain external	complete phase set and bandwidth-fact refusal	new_contract_admitted
generation_abi	4	5	workload-profile identity required to validate phase roofline evidence against the compiled workload	in-process plan layout and semantic identity; result and wire layouts unchanged	rebuilt v5 readers reject v4 plans	v4 cannot bind the workload profile used by its roofline ledger	complete rebuild; no persisted or wire migration	plan identity mutation; mismatched workload refusal; live CUDA generation	internal_bump_admitted
runtime_profile	2	2	none required by this boundary	none	unchanged	unchanged	no migration	profile regression	retain_version
local_protocol	6	6	no new product operation crosses the daemon boundary yet	none	unchanged	unchanged	bump only with implemented fork, persistence or capacity consumer	protocol suite	retain_version
runtime_event_schema	3	3	no new emitted event field is required yet	none	unchanged	unchanged	bump with first new typed event projection	event and JSONL regression	retain_version
public_c_api	1	1	no concrete external consumer requires scheduler construction facts	none	unchanged	unchanged	v1 converges on new internals; v2 requires a real consumer	public declaration count and ABI guards	retain_version
