# path	subsystem	semantic_owner	scope	visibility	boundary	primary_consumers	partition	exception_id
include/yvex/api.h	abi	abi.api	generic	public	public-abi	repository	interface	none
include/yvex/artifact.h	abi	abi.artifact	generic	public	public-abi	repository	interface	none
include/yvex/backend.h	abi	abi.backend	generic	public	public-abi	repository	interface	none
include/yvex/core.h	abi	abi.core	generic	public	public-abi	repository	interface	none
include/yvex/gguf.h	abi	abi.gguf	generic	public	public-abi	repository	interface	none
include/yvex/graph.h	abi	abi.graph	generic	public	public-abi	repository	interface	none
include/yvex/internal/artifact.h	artifact	artifact.internal	generic	private	internal-abi	gguf,model,runtime	interface	none
include/yvex/internal/conversation.h	model	model.conversation_protocol	generic	private	internal-abi	model.family,tokenizer,server	interface	none
include/yvex/internal/candidate.h	graph	graph.candidate	generic	private	internal-abi	graph,runtime,tests	interface	none
include/yvex/internal/backend.h	backend	backend.internal	generic	private	internal-abi	graph,runtime,cli	interface	none
include/yvex/internal/benchmark.h	runtime	runtime.benchmark	generic	private	internal-abi	runtime,cli,tests	interface	none
include/yvex/internal/compilation.h	model.compilation	model.compilation.internal	generic	private	internal-abi	model.family,quant	interface	none
include/yvex/internal/core.h	core	core.internal	generic	private	internal-abi	repository	interface	none
include/yvex/internal/decode.h	runtime	runtime.decode	generic	private	internal-abi	runtime,cli,tests	interface	none
include/yvex/internal/execution.h	graph	graph.execution	generic	private	internal-abi	compilation,artifact,runtime,backend,tests	interface	none
include/yvex/internal/generation.h	runtime	runtime.generation	generic	private	internal-abi	runtime,cli,tests	interface	none
include/yvex/internal/logits.h	runtime	runtime.logits	generic	private	internal-abi	runtime,cli,tests	interface	none
include/yvex/internal/sampling.h	runtime	runtime.sampling	generic	private	internal-abi	runtime,cli,tests	interface	none
include/yvex/internal/graph.h	graph	graph.internal	generic	private	internal-abi	runtime,backend,cli	interface	none
include/yvex/internal/moe.h	graph	graph.moe	generic	private	internal-abi	graph,runtime,backend,cli,tests	interface	none
include/yvex/internal/gguf.h	gguf	gguf.internal	generic	private	internal-abi	artifact,model,quant	interface	none
include/yvex/internal/gguf_writer.h	gguf	gguf.writer	generic	private	internal-abi	artifact,quant	interface	none
include/yvex/internal/io.h	io	io.internal	generic	private	internal-abi	repository	interface	none
include/yvex/internal/model.h	model	model.numeric_policy	generic	private	internal-abi	model.family,compilation,graph,runtime	interface	none
include/yvex/internal/model_artifact.h	model.artifacts	model.artifacts.internal	generic	private	internal-abi	cli,artifact	interface	none
include/yvex/internal/model_target.h	model.target	model.target.internal	generic	private	internal-abi	model,source,cli	interface	none
include/yvex/internal/quant_numeric.h	gguf	gguf.quant_numeric	generic	private	internal-abi	artifact,model,quant,backend	interface	none
include/yvex/internal/runtime.h	runtime	runtime.internal	generic	private	internal-abi	runtime,graph,cli	interface	none
src/runtime/private.h	runtime	runtime.private	generic	private	internal-abi	runtime	interface	none
include/yvex/internal/source.h	source	source.internal	generic	private	internal-abi	model,compilation	interface	none
include/yvex/internal/source_payload.h	source	source.payload	generic	private	internal-abi	model,compilation,cli	interface	none
include/yvex/model.h	abi	abi.model	generic	public	public-abi	repository	interface	none
include/yvex/provider.h	abi	abi.provider	generic	public	public-abi	repository	interface	none
include/yvex/qtype.h	abi	abi.qtype	generic	public	public-abi	repository	interface	none
include/yvex/quant.h	abi	abi.quant	generic	public	public-abi	repository	interface	none
include/yvex/registry.h	abi	abi.registry	generic	public	public-abi	repository	interface	none
include/yvex/server.h	abi	abi.server	generic	public	public-abi	repository	interface	none
include/yvex/source.h	abi	abi.source	generic	public	public-abi	repository	interface	none
include/yvex/tokenizer.h	abi	abi.tokenizer	generic	public	public-abi	repository	interface	none
src/accounts/provider.c	accounts	accounts.provider	generic	private	file-serialization	cli,server	implementation	none
src/artifact/core.c	artifact	artifact.core	generic	private	resource-lifecycle	gguf,model,runtime	implementation	none
src/artifact/descriptor.c	artifact	artifact.descriptor	generic	private	reusable-algorithm	gguf,model,runtime	implementation	none
src/artifact/identity.c	artifact	artifact.identity	generic	private	canonical-identity	gguf,model,runtime	implementation	none
src/artifact/integrity.c	artifact	artifact.integrity	generic	private	reusable-algorithm	gguf,model,runtime	implementation	none
src/artifact/materialize.c	artifact	artifact.materialize	generic	private	resource-lifecycle	gguf,model,runtime	implementation	none
src/artifact/roundtrip_gate.c	artifact	artifact.roundtrip	generic	private	reusable-algorithm	gguf,model,runtime	implementation	none
src/backend/core.c	backend	backend.core	generic	private	resource-lifecycle	graph,runtime	implementation	none
src/backend/cpu.c	backend	backend.cpu	backend	private	backend-implementation	backend,graph,runtime	implementation	none
src/backend/cuda/backend.c	backend.cuda	backend.cuda.backend	backend	private	reusable-algorithm	backend,graph	implementation	none
src/backend/cuda/capability.c	backend.cuda	backend.cuda.capability	backend	private	reusable-algorithm	backend,graph	implementation	none
src/backend/cuda/errors.c	backend.cuda	backend.cuda.errors	backend	private	reusable-algorithm	backend,graph	implementation	none
src/backend/cuda/graph.c	backend.cuda	backend.cuda.graph	backend	private	resource-lifecycle	backend,runtime	implementation	none
src/backend/cuda/families/deepseek_v4.c	backend.cuda.family	backend.cuda.family.deepseek_v4	family	private	reusable-algorithm	graph.family	implementation	none
src/backend/cuda/families/minimax_h3.c	backend.cuda.family	backend.cuda.family.minimax_h3	family	private	reusable-algorithm	graph.family	implementation	none
src/backend/cuda/info.c	backend.cuda	backend.cuda.info	backend	private	reusable-algorithm	backend,graph	implementation	none
src/backend/cuda/kernel_primitives.h	backend.cuda	backend.cuda.kernel_primitives	backend	private	platform-interface	backend.cuda.kernels,backend.cuda.moe_kernels,backend.cuda.sampling_kernels	interface	none
src/backend/cuda/kernels.cu	backend.cuda	backend.cuda.kernels	backend	private	backend-kernel	backend,graph	backend-kernel	none
src/backend/cuda/moe_kernels.cu	backend.cuda	backend.cuda.moe_kernels	backend	private	backend-kernel	backend,graph	backend-kernel	none
src/backend/cuda/sampling_kernels.cu	backend.cuda	backend.cuda.sampling_kernels	backend	private	backend-kernel	runtime,generation	backend-kernel	none
