surface_id	current_form	disposition	proposed_form	rationale	dependency	migration_risk	implementation_milestone	acceptance_requirement
binary.libyvex	libyvex.a	retain	libyvex.a	classified library owned by Makefile + config/source_owners.tsv	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
binary.yvex	./yvex	retain	./yvex	classified executable owned by src/cli/main.c	accepted product topology	medium	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
binary.yvexd	./yvexd	retain	./yvexd	classified executable owned by src/daemon/yvexd.c	accepted product topology	medium	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
catalog.artifact_options	src/cli/catalog/artifact_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.backend_options	src/cli/catalog/backend_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.generate_boundaries	src/cli/catalog/generate_boundaries.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.generate_fields	src/cli/catalog/generate_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.generate_options	src/cli/catalog/generate_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.generate_trace_fields	src/cli/catalog/generate_trace_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.graph_boundaries	src/cli/catalog/graph_boundaries.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
