surface_id	kind	syntax_or_path	owner	lifecycle	audience	side_effects	current_authority	tests	docs	disposition
binary.libyvex	library	libyvex.a	Makefile + config/source_owners.tsv	linked resource	integrators/internal	none at rest	typed C ABIs	focused owner tests	docs/api.md	retain
binary.yvex	executable	./yvex	src/cli/main.c	finite process	product/operator/engineering	command-dependent	sole command executable	tests/client_cutover.sh	README.md	retain
binary.yvexd	executable	./yvexd	src/daemon/yvexd.c	persistent process	operator/applications	model/listener/session lifecycle	sole runtime host	tests/product_topology.sh	README.md	retain
catalog.artifact_options	orphan CLI catalog	src/cli/catalog/artifact_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.backend_options	orphan CLI catalog	src/cli/catalog/backend_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.generate_boundaries	orphan CLI catalog	src/cli/catalog/generate_boundaries.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.generate_fields	orphan CLI catalog	src/cli/catalog/generate_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.generate_options	orphan CLI catalog	src/cli/catalog/generate_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.generate_trace_fields	orphan CLI catalog	src/cli/catalog/generate_trace_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.graph_boundaries	orphan CLI catalog	src/cli/catalog/graph_boundaries.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.graph_fields	orphan CLI catalog	src/cli/catalog/graph_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.graph_options	orphan CLI catalog	src/cli/catalog/graph_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.kv_boundaries	orphan CLI catalog	src/cli/catalog/kv_boundaries.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
