path	subsystem	declared_owner	final_owner	language	physical_lines	function_definitions	global_definitions	static_functions	include_count	include_consumers	symbol_consumers	build_product	owner_boundary	mutable_state	resource_ownership	policy_ownership	abi_schema_ownership	failure_contract	independent_tests	execution_class	disposition	destination	justification
include/yvex/api.h	abi	abi.api	abi.api	h	20	0	0	0	13	0	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/api.h	retains declared public-abi boundary for repository
include/yvex/artifact.h	abi	abi.artifact	abi.artifact	h	468	0	0	0	4	18	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	tests/unit/artifact.c	production	keep	include/yvex/artifact.h	retains declared public-abi boundary for repository
include/yvex/backend.h	abi	abi.backend	abi.backend	h	263	0	0	0	1	5	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/backend.h	retains declared public-abi boundary for repository
include/yvex/core.h	abi	abi.core	abi.core	h	135	0	0	0	1	9	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/core.h	retains declared public-abi boundary for repository
include/yvex/gguf.h	abi	abi.gguf	abi.gguf	h	560	0	0	0	3	10	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	tests/unit/gguf.c	production	keep	include/yvex/gguf.h	retains declared public-abi boundary for repository
include/yvex/graph.h	abi	abi.graph	abi.graph	h	128	0	0	0	1	1	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	tests/unit/graph.c,tests/unit/cuda/graph.c	production	keep	include/yvex/graph.h	retains declared public-abi boundary for repository
include/yvex/internal/artifact.h	artifact	artifact.internal	artifact.internal	h	582	0	0	0	9	9	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/unit/artifact.c	production	keep	include/yvex/internal/artifact.h	retains declared internal-abi boundary for gguf,model,runtime
include/yvex/internal/candidate.h	graph	graph.candidate	graph.candidate	h	38	0	0	0	1	2	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/candidate.h	retains declared internal-abi boundary for graph,runtime,tests
include/yvex/internal/backend.h	backend	backend.internal	backend.internal	h	600	0	0	0	6	17	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/backend.h	retains declared internal-abi boundary for graph,runtime,cli
include/yvex/internal/benchmark.h	runtime	runtime.benchmark	runtime.benchmark	h	217	0	0	0	2	3	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/benchmark.h	retains declared internal-abi boundary for runtime,cli,tests
include/yvex/internal/compilation.h	model.compilation	model.compilation.internal	model.compilation.internal	h	558	0	0	0	5	9	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/compilation.h	retains declared internal-abi boundary for model.family,quant
include/yvex/internal/core.h	core	core.internal	core.internal	h	405	0	0	0	6	82	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/core.h	retains declared internal-abi boundary for repository
include/yvex/internal/decode.h	runtime	runtime.decode	runtime.decode	h	338	0	0	0	3	4	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/decode.h	retains declared internal-abi boundary for runtime,cli,tests
include/yvex/internal/execution.h	graph	graph.execution	graph.execution	h	318	0	0	0	3	5	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/execution.h	retains declared internal-abi boundary for compilation,artifact,runtime,backend,tests
include/yvex/internal/generation.h	runtime	runtime.generation	runtime.generation	h	355	0	0	0	4	2	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	strengthen	include/yvex/internal/generation.h	retained semantic owner absorbed one or more same-owner fragments
include/yvex/internal/logits.h	runtime	runtime.logits	runtime.logits	h	244	0	0	0	2	6	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/reference/logits.c	production	keep	include/yvex/internal/logits.h	retains declared internal-abi boundary for runtime,cli,tests
include/yvex/internal/sampling.h	runtime	runtime.sampling	runtime.sampling	h	222	0	0	0	1	4	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/reference/sampling.c	production	keep	include/yvex/internal/sampling.h	retains declared internal-abi boundary for runtime,cli,tests
include/yvex/internal/graph.h	graph	graph.internal	graph.internal	h	594	0	0	0	6	3	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/unit/graph.c,tests/unit/cuda/graph.c	production	keep	include/yvex/internal/graph.h	retains declared internal-abi boundary for runtime,backend,cli
include/yvex/internal/moe.h	graph	graph.moe	graph.moe	h	325	0	0	0	3	7	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/moe.h	retains declared internal-abi boundary for graph,runtime,backend,cli,tests
include/yvex/internal/profile.h	runtime	runtime.profile	runtime.generation	h	280	0	0	0	4	2	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	merge	include/yvex/internal/generation.h	implementation fragment folded into runtime.generation; no independent lifecycle or consumer set
include/yvex/internal/gguf.h	gguf	gguf.internal	gguf.internal	h	253	0	0	0	11	15	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/unit/gguf.c	production	keep	include/yvex/internal/gguf.h	retains declared internal-abi boundary for artifact,model,quant
