operation	h3_component	classification	required_semantics	yvex_owner_inspected	existing_api_or_missing_boundary	backend_status	family_specific_status	first_executable_consumer	correctness_oracle	implementation_risk	evidence
component artifact identity	all	available-generic	immutable content identity and complete byte coverage	artifact.identity;artifact.core	yvex_artifact_identity_read and snapshot validation	CPU file-backed only; backend-neutral identity	family maps roles but must not redefine identity	full Transformation IR	independent SHA-256 and range inventory	low	include/yvex/artifact.h and source_owners.tsv
composite component manifest	pipeline	new-generic-primitive	bind component identities, DAG, residency plan, and output contract	artifact.descriptor;model.compilation.ir	no multi-artifact manifest or phase-DAG ABI	none	family supplies component roles and irreducible edges	full Transformation IR	canonical manifest identity/refusal tests	high	Physical Execution IR accepts one descriptor/materialization
tensor allocation and copy	all	available-generic	checked typed allocation, transfer, copy, sync, and cleanup	backend.core;backend.cpu;backend.cuda.backend	yvex_backend_tensor_alloc/write/read/copy/sync	CPU and CUDA owners exist	no family policy	one Omni-Transformer block	byte-exact transfer tests and backend comparison	low	include/yvex/backend.h
dense linear projections	encoder;transformer;VAEs	available-with-bounded-extension	batched BF16/F32 linear maps with bias and admitted layouts	backend.cpu;backend.cuda.ops	yvex_backend_op_matmul is bias-free F32 only	CPU/CUDA F32 reference path; no H3 BF16 variant	family selects weight roles only	one Omni-Transformer block	independent F32/BF16 GEMM reference	medium	backend.h variants and H3 tensor dtypes
embedding lookup	text_encoder	available-with-bounded-extension	BF16 vocabulary lookup to admitted activation dtype	backend.cpu;backend.cuda.ops	yvex_backend_op_embed accepts F32/F16 weights, not BF16	CPU/CUDA variants lack BF16	Qwen family supplies tokenizer/role mapping	full Transformation IR then context encoder	exact row selection and Transformers fixture	medium	text_encoder embed_tokens BF16 and backend.h
RMS normalization	encoder;transformer;video_vae	available-with-bounded-extension	row and per-head RMSNorm with BF16 weights and epsilons	backend.cpu;backend.cuda.ops;graph.numeric	yvex_backend_op_rms_norm supports F32 activation with F16/F32 weight	CPU/CUDA lack BF16 and batched/per-head contract	family selects epsilon and axes	one Omni-Transformer block	independent double-accumulation reference	medium	configs eps=1e-5/1e-6 and backend.h
residual add and scale	encoder;transformer;VAEs	new-generic-primitive	checked elementwise add, multiply, broadcast, and gated residual publication	graph.transformer;backend ops	no generic elementwise backend ABI	no CPU/CUDA operation variant	family composes residual order	one Omni-Transformer block	independent elementwise reference and alias tests	medium	backend operation catalog lacks elementwise operations
gated SiLU MLP	encoder;transformer	available-with-bounded-extension	combined gate/up projection, SiLU, product, down projection, bias policy	backend.cpu;backend.cuda.ops	yvex_backend_op_mlp uses separate F32 gate/up/down weights	CPU/CUDA dense F32 variant exists	family lowers combined fc1 into two logical views	one Omni-Transformer block	independent MLP reference	medium	transformer fc1 is 28672=2*14336
GELU tanh	text_encoder vision	new-generic-primitive	gelu_pytorch_tanh with declared rounding and activation dtype	backend.cpu;backend.cuda.ops	only internal SiLU in MLP	no variant	family selects declared activation	Qwen3-VL vision context slice	Transformers numerical fixture	medium	text_encoder vision_config.hidden_act
batched full attention	transformer;video_vae	new-generic-primitive	noncausal multihead all-token attention with memory-bounded softmax	graph.attention;backend.cpu;backend.cuda.ops	yvex_backend_op_attention executes one F32 query row with explicit score/probability scratch	CPU/CUDA row-wise eager primitive is semantically and spatially insufficient	family selects joint token ordering and mask	one Omni-Transformer block	independent exact small-shape attention plus fused comparison	very-high	56x128 H3 heads; current cpu_op_attention row loop
