command_id	executable	full_path	operation_id	plane	visibility	parser_owner	domain_owner	transport	positional_arguments	daemon_required	engine_lane	TTY_required	side_effects	output	help_source	tests	documentation	duplicate_group	truthfulness	disposition	proposed_path
cli.offline.artifact.emit	yvex	yvex artifact emit	artifact.emit.controlled	Compile	engineering	src/cli/main.c -> src/cli/commands/gguf.c	GGUF writer	in-process	controlled options	no	offline-engine	action-dependent	writes controlled artifact transactionally	human/file	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	artifact-emit	adapter projects gguf-emit	consolidate	yvex compile artifact emit
cli.offline.artifact.materialize	yvex	yvex artifact materialize	artifact.materialize	Compile	product-advanced	src/cli/main.c -> src/cli/commands/artifact.c	artifact materialization	in-process	options	no	offline-engine	action-dependent	allocates/copies selected backend storage then cleans	human	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	artifact-materialization	truthful	keep	yvex artifact prepare
cli.offline.artifact.materialize_gate	yvex	yvex artifact materialize-gate	artifact.materialize.gate	Execute	engineering	src/cli/main.c -> src/cli/commands/artifact.c	materialization evidence gate	in-process	check options	no	offline-engine	action-dependent	repeated bounded materialization and cleanup	report/file	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	gate-proof	truthful engineering surface	move	yvex execute artifact materialization-gate
cli.offline.artifact.metadata	yvex	yvex artifact metadata	artifact.metadata	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/artifact.c	GGUF metadata	in-process	FILE_OR_ALIAS	no	offline-engine	action-dependent	reads metadata	human	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	artifact-inspection	truthful	move	yvex inspect artifact metadata
cli.offline.artifact.model_gate	yvex	yvex artifact model-gate	artifact.model.gate	Execute	engineering	src/cli/main.c -> src/cli/commands/artifact.c	model admission evidence gate	in-process	check options	no	offline-engine	action-dependent	selected tensor/materialization proof	report/file	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	gate-proof	truthful engineering surface	move	yvex execute artifact model-gate
cli.offline.artifact.show	yvex	yvex artifact show	artifact.inspect	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/artifact.c	artifact descriptor	in-process	FILE_OR_ALIAS	no	offline-engine	action-dependent	reads GGUF metadata/directory	human	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	artifact-inspection	truthful adapter projection inspect	keep	yvex artifact show
cli.offline.artifact.template	yvex	yvex artifact template	artifact.template	Compile	engineering	src/cli/main.c -> src/cli/commands/gguf.c	GGUF template	in-process	inspect|validate|compare	no	offline-engine	action-dependent	reads template/native inventory	human/JSON	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	template	adapter projects gguf-template	move	yvex compile template
cli.offline.artifact.tensors	yvex	yvex artifact tensors	artifact.tensors	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/artifact.c	GGUF tensor directory	in-process	FILE_OR_ALIAS	no	offline-engine	action-dependent	reads tensor directory	table	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	artifact-inspection	truthful	move	yvex inspect artifact tensors
cli.offline.artifact.verify	yvex	yvex artifact verify	artifact.verify	Compile	product-default	src/cli/main.c -> src/cli/commands/artifact.c	artifact integrity	in-process	check|report; implicit FILE shorthand	no	offline-engine	action-dependent	reads and hashes admitted artifact; report only	human/table/audit	src/cli/commands/artifact.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	artifact-integrity	hidden argv reconstruction for bare FILE	normalize	yvex artifact verify
cli.offline.evidence.accounts	yvex	yvex evidence accounts	system.accounts	System	product-advanced	src/cli/main.c -> src/cli/commands/accounts.c	provider CLI account state	in-process	providers|status|login|logout|whoami|ensure	no	offline-engine	action-dependent	may invoke provider CLI/login/logout	human/table/audit	src/cli/commands/accounts.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	side-effecting system operation under evidence	move	yvex system accounts
