path	kind	baseline_class	baseline_authority	conflict	disposition	final_owner	claim_effect
.github/pull_request_template.md	markdown	contribution	projection	none	kept	.github/pull_request_template.md	preserved
AGENTS.md	markdown	engineering-contract	canonical	documentation governance absent	kept-narrow-update	AGENTS.md	preserved
CONTRIBUTING.md	markdown	contribution	canonical	stale authority map	kept-updated	CONTRIBUTING.md	preserved
LICENSE	legal	legal	canonical	none	kept	LICENSE	preserved
MODEL_ARTIFACTS.md	markdown	artifact-contract	canonical	root placement and repeated terminology	moved-edited	docs/contracts/artifacts.md	preserved
NOTICE.md	markdown	legal	canonical	none	kept	NOTICE.md	preserved
README.md	markdown	public-entry	mixed	entry mixed with manual doctrine architecture and family facts	rewritten	README.md	preserved
ROADMAP.md	markdown	project-control	canonical	none	kept-transitioned	ROADMAP.md	preserved
docs/api.md	markdown	api-reference	canonical	flat placement and stale links	moved-edited	docs/contracts/c-api.md	preserved
docs/audits/operator-surface-ec7dcc/README.md	markdown	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/README.md	preserved
docs/audits/operator-surface-ec7dcc/commands.tsv	tsv	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/commands.tsv	preserved
docs/audits/operator-surface-ec7dcc/dispositions.tsv	tsv	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/dispositions.tsv	preserved
docs/audits/operator-surface-ec7dcc/findings.md	markdown	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/findings.md	preserved
docs/audits/operator-surface-ec7dcc/flags.tsv	tsv	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/flags.tsv	preserved
docs/audits/operator-surface-ec7dcc/operations.tsv	tsv	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/operations.tsv	preserved
docs/audits/operator-surface-ec7dcc/project-control-input.md	markdown	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/project-control-input.md	preserved
docs/audits/operator-surface-ec7dcc/registry-input.md	markdown	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/registry-input.md	preserved
docs/audits/operator-surface-ec7dcc/surfaces.tsv	tsv	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/surfaces.tsv	preserved
docs/audits/operator-surface-ec7dcc/target-taxonomy.md	markdown	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/target-taxonomy.md	preserved
docs/audits/operator-surface-ec7dcc/workflows.md	markdown	frozen-audit	frozen	none	frozen-unchanged	docs/audits/operator-surface-ec7dcc/workflows.md	preserved
docs/cli-output-architecture.md	markdown	implemented-architecture	canonical	flat placement and transitional presentation mixed	moved-edited	docs/architecture/commands.md	preserved
docs/contract.md	markdown	runtime-contract	mixed	runtime protocol events benchmark source and command contracts compete	split	docs/contracts/runtime.md;docs/contracts/local-protocol.md;docs/contracts/events-telemetry.md	preserved
docs/decisions/0001-public-project-control.md	markdown	decision	canonical	none	kept	docs/decisions/0001-public-project-control.md	preserved
docs/decisions/0002-command-operation-registry.md	markdown	decision	canonical	none	kept	docs/decisions/0002-command-operation-registry.md	preserved
docs/decisions/README.md	markdown	decision-index	projection	missing documentation decision	kept-updated	docs/decisions/README.md	preserved
docs/diagrams/autoregressive_execution.mmd	mermaid	architecture-diagram	source	none	kept	docs/diagrams/autoregressive_execution.mmd	preserved
docs/diagrams/autoregressive_execution.svg	svg	architecture-diagram	projection	none	kept	docs/diagrams/autoregressive_execution.svg	preserved
docs/diagrams/physical_compilation.mmd	mermaid	architecture-diagram	source	none	kept	docs/diagrams/physical_compilation.mmd	preserved
docs/diagrams/physical_compilation.svg	svg	architecture-diagram	projection	none	kept	docs/diagrams/physical_compilation.svg	preserved
docs/diagrams/runtime_host_sessions.mmd	mermaid	architecture-diagram	source	none	kept	docs/diagrams/runtime_host_sessions.mmd	preserved
